Time (s), Temperature (°C)
0, 34.559
10, 34.57
20, 34.609
30, 34.652
40, 34.66
50, 34.691
60, 34.73
70, 34.801
80, 34.824
90, 34.867
100, 34.898
110, 34.957
120, 34.996
130, 35.016
140, 35.062
150, 35.082
160, 35.102
170, 35.109
180, 35.109
190, 35.113
200, 35.125
210, 35.137
220, 35.16
230, 35.172
240, 35.219
250, 35.246
260, 35.266
270, 35.309
280, 35.316
290, 35.324
300, 35.359
310, 35.375
320, 35.398
330, 35.426
340, 35.453
350, 35.453
360, 35.48
370, 35.469
380, 35.473
390, 35.484
400, 35.488
410, 35.516
420, 35.535
430, 35.551
440, 35.547
450, 35.551
460, 35.57
470, 35.578
480, 35.582
490, 35.594
500, 35.609
510, 35.621
520, 35.613
530, 35.586
540, 35.586
550, 35.602
560, 35.602
570, 35.609
580, 35.621
590, 35.621
600, 35.625
610, 35.641
620, 35.652
630, 35.664
640, 35.664
650, 35.672
660, 35.668
670, 35.664
680, 35.66
690, 35.664
700, 35.645
710, 35.652
720, 35.648
730, 35.656
740, 35.664
750, 35.656
760, 35.672
770, 35.688
780, 35.688
790, 35.723
800, 35.711
810, 35.703
820, 35.703
830, 35.719
840, 35.715
850, 35.703
860, 35.711
870, 35.746
880, 35.762
890, 35.754
900, 35.77
910, 35.762
920, 35.762
930, 35.785
940, 35.762
950, 35.762
960, 35.754
970, 35.754
980, 35.77
990, 35.762
1000, 35.762
1010, 35.77
1020, 35.773
1030, 35.762
1040, 35.789
1050, 35.77
1060, 35.793
1070, 35.797
1080, 35.812
1090, 35.809
1100, 35.805
1110, 35.805
1120, 35.82
1130, 35.801
1140, 35.824
1150, 35.824
1160, 35.828
1170, 35.832
1180, 35.832
1190, 35.844
1200, 35.836
1210, 35.836
1220, 35.859
1230, 35.852
1240, 35.859
1250, 35.875
1260, 35.859
1270, 35.855
1280, 35.859
1290, 35.875
1300, 35.871
1310, 35.883
1320, 35.887
1330, 35.906
1340, 35.902
1350, 35.926
1360, 35.926
1370, 35.91
1380, 35.93
1390, 35.945
1400, 35.941
1410, 35.949
1420, 35.969
1430, 35.969
1440, 35.961
1450, 35.98
1460, 35.969
1470, 35.977
1480, 35.992
1490, 36.004
1500, 35.996
1510, 35.988
1520, 35.988
1530, 36.02
1540, 36.027
1550, 36.043
1560, 36.02
1570, 36.031
1580, 36.012
1590, 36.035
1600, 36.008
1610, 36.047
1620, 36.059
1630, 36.055
1640, 36.047
1650, 36.059
1660, 36.043
1670, 36.039
1680, 36.039
1690, 36.031
1700, 36.023
1710, 36.012
1720, 36.023
1730, 36.012
1740, 36.027
1750, 36.027
1760, 36.023
1770, 36.012
1780, 36.016
1790, 36.027
1800, 36.02
1810, 36.027
1820, 36.039
1830, 36.031
1840, 36.027
1850, 36.012
1860, 36.016
1870, 36.035
1880, 36.035
1890, 36.016
1900, 36.043
1910, 36.031
1920, 36.035
1930, 36.055
1940, 36.051
1950, 36.074
1960, 36.055
1970, 36.07
1980, 36.062
1990, 36.059
2000, 36.074
2010, 36.082
2020, 36.094
2030, 36.09
2040, 36.094
2050, 36.078
2060, 36.098
2070, 36.078
2080, 36.062
2090, 36.066
2100, 36.074
2110, 36.078
2120, 36.066
2130, 36.062
2140, 36.066
2150, 36.082
2160, 36.062
2170, 36.07
2180, 36.051
2190, 36.066
2200, 36.062
2210, 36.066
2220, 36.07
2230, 36.059
2240, 36.047
2250, 36.074
2260, 36.07
2270, 36.055
2280, 36.066
2290, 36.051
2300, 36.059
2310, 36.051
2320, 36.062
2330, 36.074
2340, 36.066
2350, 36.059
2360, 36.07
2370, 36.066
2380, 36.062
2390, 36.078
2400, 36.066
2410, 36.066
2420, 36.078
2430, 36.086
2440, 36.078
2450, 36.07
2460, 36.062
2470, 36.078
2480, 36.07
2490, 36.074
2500, 36.082
2510, 36.094
2520, 36.074
2530, 36.078
2540, 36.09
2550, 36.078
2560, 36.074
2570, 36.078
2580, 36.094
2590, 36.078
2600, 36.082
2610, 36.066
2620, 36.078
2630, 36.105
2640, 36.09
2650, 36.086
2660, 36.086
2670, 36.047
2680, 36.051
2690, 36.031
2700, 36.008
2710, 36.02
2720, 36.02
2730, 36.02
2740, 36.004
2750, 36.016
2760, 36.039
2770, 36.02
2780, 36.023
2790, 35.98
2800, 35.988
2810, 35.977
2820, 35.992
2830, 36.008
2840, 35.973
2850, 35.98
2860, 35.965
2870, 35.938
2880, 35.949
2890, 35.953
2900, 35.953
2910, 35.941
2920, 35.938
2930, 35.949
2940, 35.945
2950, 35.934
2960, 35.938
2970, 35.926
2980, 35.934
2990, 35.918
3000, 35.934
3010, 35.926
3020, 35.926
3030, 35.922
3040, 35.934
3050, 35.934
3060, 35.93
3070, 35.914
3080, 35.914
3090, 35.91
3100, 35.93
3110, 35.902
3120, 35.949
3130, 35.812
3140, 35.789
3150, 35.781
3160, 35.805
3170, 35.793
3180, 35.801
3190, 35.793
3200, 35.805
3210, 35.805
3220, 35.812
3230, 35.816
3240, 35.824
3250, 35.836
3260, 35.836
3270, 35.824
3280, 35.832
3290, 35.844
3300, 35.84
3310, 35.836
3320, 35.859
3330, 35.852
3340, 35.859
3350, 35.848
3360, 35.863
3370, 35.855
3380, 35.879
3390, 35.879
3400, 35.871
3410, 35.891
3420, 35.902
3430, 35.887
3440, 35.891
3450, 35.891
3460, 35.883
3470, 35.914
3480, 35.887
3490, 35.902
3500, 35.895
3510, 35.902
3520, 35.898
3530, 35.898
3540, 35.906
3550, 35.914
3560, 35.902
3570, 35.934
3580, 35.906
3590, 35.926
3600, 35.93
3610, 35.914
3620, 35.914
3630, 35.93
3640, 35.914
3650, 35.891
3660, 35.914
3670, 35.906
3680, 35.926
3690, 35.922
3700, 35.914
3710, 35.91
3720, 35.906
3730, 35.879
3740, 35.879
3750, 35.887
3760, 35.883
3770, 35.875
3780, 35.887
3790, 35.867
3800, 35.879
3810, 35.867
3820, 35.875
3830, 35.863
3840, 35.867
3850, 35.879
3860, 35.859
3870, 35.836
